Action;Type;DoType;DoEntete;DE_No;DoDomaine;AR_Ref;Qte;Prix;Remise;Montant;Date
;Artstock;;;2;;1300002;37.000000;;;1619359.990000;2019-04-08 23:39:53
ajout_ligne;Vente;6;FRVB00018;2;0;1300002;10.00;25000.00;;25000.00;2019-04-08 23:39:53
;Artstock;;;2;;1300002;27.000000;;;1181695.090000;2019-04-08 23:39:54
;Artstock;;;2;;1300002;27.000000;;;1181695.090000;2019-04-08 23:39:58
modif_ligne;Vente;6;FRVB00018;2;0;1300002;5.00;25000.00;;25000.00;2019-04-08 23:39:58
;Artstock;;;2;;1300002;32.000000;;;1400527.500000;2019-04-08 23:39:59
;Artstock;;;2;;1300002;32.000000;;;1400527.500000;2019-04-08 23:40:03
suppresion;Vente;6;FRVB00018;2;0;1300002;5.000000;24509.800000;;125000.000000;2019-04-08 23:40:03
;Artstock;;;2;;1300002;37.000000;;;1619359.930000;2019-04-08 23:40:03
ajout_ligne;Artstock;;;2;;1300002;37.000000;;;1619359.930000;2019-04-10 07:15:11
ajout_ligne;Vente;6;FRVB00019;2;0;1300002;2.00;25000.00;;25000.00;2019-04-10 07:15:11
ajout_ligne;Artstock;;;2;;1300002;35.000000;;;1531826.970000;2019-04-10 07:15:12
modif_ligne;Artstock;;;2;;1300002;35.000000;;;1531826.970000;2019-04-10 07:15:18
modif_ligne;Vente;6;FRVB00019;2;0;1300002;3.00;25000.00;;25000.00;2019-04-10 07:15:18
modif_ligne;Artstock;;;2;;1300002;34.000000;;;1488060.500000;2019-04-10 07:15:19
suppression;Artstock;;;2;;1300002;34.000000;;;1488060.500000;2019-04-10 07:15:22
suppresion;Vente;6;FRVB00019;2;0;1300002;3.000000;24509.800000;;75000.000000;2019-04-10 07:15:22
suppression;Artstock;;;2;;1300002;37.000000;;;1619359.950000;2019-04-10 07:15:22
ajout_ligne;Artstock;;;2;;1000006;102.000000;;;6595999.960000;2019-04-10 07:15:26
ajout_ligne;Vente;6;FRVB00019;2;0;1000006;2.00;3100.00;;3100.00;2019-04-10 07:15:26
ajout_ligne;Artstock;;;2;;1000006;100.000000;;;6466666.620000;2019-04-10 07:15:27
ajout_ligne;Artstock;;;2;;1000004;180.000000;;;90000000.000000;2019-04-10 07:15:42
ajout_ligne;Achat;16;FAB000097;2;1;1000004;2.00;500000.00;;500000.00;2019-04-10 07:15:42
ajout_ligne;Artstock;;;2;;1000004;182.000000;;;91000000.000000;2019-04-10 07:15:42
modif_ligne;Artstock;;;2;;1000004;182.000000;;;91000000.000000;2019-04-10 07:15:49
modif_ligne;Achat;16;FAB000097;2;1;1000004;5.00;500000.00;;500000.00;2019-04-10 07:15:49
modif_ligne;Artstock;;;2;;1000004;185.000000;;;92500000.000000;2019-04-10 07:15:50
suppression;Artstock;;;2;;1000004;185.000000;;;92500000.000000;2019-04-10 07:15:54
suppresion;Achat;16;FAB000097;2;1;1000004;5.000000;500000.000000;;2500000.000000;2019-04-10 07:15:54
suppression;Artstock;;;2;;1000004;180.000000;;;90000000.000000;2019-04-10 07:15:54
ajout_ligne;Achat;16;FAB000097;2;1;1000009;10.00;100000.00;;100000.00;2019-04-10 07:15:59
ajout_ligne;Artstock;;;2;;1000009;10.000000;;;1000000.000000;2019-04-10 07:15:59
ajout_ligne;Artstock;;;3;;1309521;3.000000;;;45240.000000;2019-04-10 07:16:49
ajout_ligne;Artstock;;;3;;1309521;2.000000;;;30160.000000;2019-04-10 07:16:49
ajout_ligne;Artstock;;;2;;1309521;.000000;;;.000000;2019-04-10 07:16:49
ajout_ligne;Artstock;;;2;;1309521;1.000000;;;15080.000000;2019-04-10 07:16:49
ajout_ligne;Artstock;;;3;;1309521;2.000000;;;30160.000000;2019-04-10 07:17:14
ajout_ligne;Artstock;;;3;;1309521;1.000000;;;15080.000000;2019-04-10 07:17:14
ajout_ligne;Artstock;;;2;;1309521;1.000000;;;15080.000000;2019-04-10 07:17:14
ajout_ligne;Artstock;;;2;;1309521;2.000000;;;30160.000000;2019-04-10 07:17:14
ajout_ligne;Artstock;;;3;;13003;35.000000;;;491400.000000;2019-04-10 07:19:42
ajout_ligne;Artstock;;;3;;13003;34.000000;;;477360.000000;2019-04-10 07:19:42
ajout_ligne;Artstock;;;2;;13003;.000000;;;.000000;2019-04-10 07:19:42
ajout_ligne;Artstock;;;2;;13003;1.000000;;;14040.000000;2019-04-10 07:19:42
ajout_ligne;Artstock;;;3;;13003;34.000000;;;477360.000000;2019-04-10 07:19:52
ajout_ligne;Artstock;;;3;;13003;33.000000;;;463320.000000;2019-04-10 07:19:52
ajout_ligne;Artstock;;;2;;13003;1.000000;;;14040.000000;2019-04-10 07:19:52
ajout_ligne;Artstock;;;2;;13003;2.000000;;;28080.000000;2019-04-10 07:19:52
ajout_ligne;Artstock;;;3;;13003;33.000000;;;463320.000000;2019-04-10 07:30:33
ajout_ligne;Artstock;;;3;;13003;33.000000;;;463320.000000;2019-04-10 07:30:42
